tone_name,monk_tone,rgb,r,g,b
deep_golden,6,"165, 90, 62",165,90,62
deep_netural,7,"120, 71, 53",120,71,53
deep_red,7,"123, 62, 44",123,62,44
deep_rich_goldenred,7,"149, 82, 55",149,82,55
deep_rich_netural,7,"136, 78, 61",136,78,61
deep_rich_netural_gold,7,"134, 67, 40",134,67,40
deep_rich_neturalred,7,"142, 77, 56",142,77,56
deep_tan_cool,2,"223, 168, 138",223,168,138
deep_tan_goldenred,7,"162, 92, 67",162,92,67
deep_tan_olive,6,"171, 108, 81",171,108,81
deep_tan_pink,6,"210, 139, 106",210,139,106
deepest_goldenred,7,"138, 78, 64",138,78,64
deepest_neutral,9,"85, 42, 30",85,42,30
deepest_red,8,"122, 67, 51",122,67,51
fair_light_neutral,2,"236, 191, 66",236,191,66
fair_light_peach,2,"241, 199, 178",241,199,178
fair_light_pink,1,"232, 193, 174",232,193,174
light_golden,2,"229, 187, 154",229,187,154
light_medium_neutral,2,"236, 184, 158",236,184,158
light_medium_gold,2,"232, 193, 168",232,193,168
light_neutral,2,"235, 198, 174",235,198,174
light_pink,2,"236, 197, 191",236,197,191
medium_golden,4,"216, 158, 121",216,158,121
medium_neutral,2,"226, 172, 138",226,172,138
medium_neutral_tan,2,"223, 176, 146",223,176,146
medium_olive_tan,2,"228, 176, 144",228,176,144
medium_peach,2,"223, 170, 144",223,170,144
medium_pink,2,"229, 184, 163",229,184,163
rich_golden,6,"198, 132, 100",198,132,100
rich_netural,6,"190, 121, 87",190,121,87
rich_pink,7,"184, 116, 86",184,116,86
tan_golden,6,"191, 122, 87",191,122,87
tan_neutral,6,"213, 150, 120",213,150,120
tan_neutralgold,6,"196, 129, 98",196,129,98
tan_olive,5,"207, 153, 117",207,153,117